menu,rating,sentiment,review_text
Thai Tea,5,positive,"ชาไทยที่นี่อร่อยมากค่ะ หอมกลิ่นเครื่องเทศ หวานกำลังดี ใส่นมสดเยอะ ทำให้รสชาติกลมกล่อม สั่งทุกครั้งที่มา ไม่เคยผิดหวัง"
Nitro Flat White,4,positive,"The Nitro Flat White here is a game-changer! The cascading effect is mesmerizing and the smooth, velvety texture is perfect. Just wish it was a bit stronger."
Mango Smoothie,2,negative,"แมงโก้สมูทตี้รสชาติธรรมดามาก มะม่วงไม่หวาน น้ำแข็งเยอะเกินไป เหมือนกินน้ำแข็งบด เสียดายเงิน"
Croissant,5,positive,"Best croissant in town! Perfectly flaky and buttery layers, with a beautiful golden-brown color. Still warm when served. Worth every penny!"
Bubble Tea,1,negative,"Terrible bubble tea experience. The pearls were too hard, the tea was watery, and the sweetness level was way off. Save your money and go elsewhere."
Muffin,5,positive,"The muffin was absolutely delicious! It was moist, fluffy, and had the perfect amount of sweetness. I highly recommend it!"
Iced Americano,2,negative,"The Iced Americano was too bitter for my taste. It felt like it was over-extracted. I wouldn’t order it again."
Watermelon Smoothie,4,positive,"This smoothie was so refreshing! The watermelon flavor was natural and not overly sweet. Perfect for a hot day."
Croissant,1,negative,"The croissant was stale and dry. It tasted like it had been sitting out for hours. Very disappointing."
Muffin,5,positive,"The blueberry muffin was absolutely delicious! Moist, flavorful, and packed with blueberries.  Perfect with my latte."
Donut,3,neutral,"The donut was okay.  A little dry, but the glaze was good.  I've had better donuts though."
Sandwich,4,positive,"The ham and cheese sandwich was surprisingly good.  Fresh bread and generous fillings.  A good quick lunch option."
Cheesecake,2,negative,"ผิดหวังกับชีสเค้กมากค่ะ  (Disappointed with the cheesecake). It was dry and the texture was off.  รสชาติไม่ค่อยดีเท่าไหร่ (The taste wasn't very good)."
Croissant,5,positive,"I love the croissants here! Flaky, buttery, and perfectly baked.  Just like in Paris!  อร่อยมากค่ะ (Very delicious!)"
Cookie,4,positive,"The chocolate chip cookie was warm and chewy. Just the right amount of sweetness.  A perfect afternoon treat."
Americano,3,neutral,"The Americano was decent. Strong, as it should be, but nothing particularly special."
Cappuccino,4,positive,"Great cappuccino! The foam was perfect and the coffee had a rich flavor. Will definitely order again."
Espresso,5,positive,"Perfect espresso! Strong, rich, and with a beautiful crema.  Just what I needed."
Mocha,4,positive,"The mocha was very good.  Rich chocolate flavor and the coffee was strong enough to balance it out.  A little too sweet for some, perhaps."
Latte,3,neutral,"My latte was fine.  Nothing to complain about, but nothing to rave about either.  Standard latte."
Iced Latte,4,positive,"The iced latte was refreshing and flavorful.  Perfect for a hot day."
Iced Americano,2,negative,"The iced Americano was too bitter for my taste.  I added some sugar, but it didn't help much."
Nitro Flat White,5,positive,"The nitro flat white was amazing!  So smooth and creamy without any milk.  A must-try!"
Mocha Cold Brew,4,positive,"The mocha cold brew was delicious.  Smooth, chocolatey, and not too sweet.  A great pick-me-up."
Watermelon Smoothie,5,positive,"The watermelon smoothie was so refreshing! Perfect for a hot day.  หวานชื่นใจ (Sweet and refreshing)!"
Kiwi Smoothie,3,neutral,"The kiwi smoothie was okay.  A bit tart, but I like tart flavors.  Could have been a little sweeter."
Mango Smoothie,4,positive,"The mango smoothie was delicious!  Sweet and creamy.  I'd definitely order it again."
Strawberry Smoothie,4,positive,"The strawberry smoothie was good.  Tasted fresh and had a nice strawberry flavor."
Black Tea,3,neutral,"The black tea was standard.  Nothing special, but it did the job."
Thai Tea,5,positive,"ชาไทยอร่อยมาก! (Thai tea is very delicious!) Perfectly sweet and creamy.  My favorite!"
Bubble Tea,4,positive,"The bubble tea was good.  The boba was chewy and the milk tea was flavorful."
Green Tea,3,neutral,"The green tea was okay.  A bit weak, but I prefer stronger green tea."
Jasmine Tea,4,positive,"The jasmine tea was fragrant and flavorful.  Very relaxing."
Yuzu Tea,5,positive,"The yuzu tea was amazing!  So refreshing and citrusy.  I highly recommend it."
Nitro Black Tea Lemonade,4,positive,"The nitro black tea lemonade was a refreshing and unique drink.  I enjoyed the combination of flavors."
Lemon Tea,3,neutral,"The lemon tea was okay.  A bit too sweet for my liking."
Espresso Con Panna,5,positive,"The espresso con panna was perfect!  Rich espresso topped with creamy panna.  A little taste of heaven."
Muffin,4,positive,"Good muffin!  Nice and moist with a good crumb.  Would buy again."
Donut,2,negative,"The donut was stale and dry.  Very disappointing."
Sandwich,5,positive,"The club sandwich was excellent! Fresh ingredients and perfectly toasted bread."
Cheesecake,4,positive,"The cheesecake was rich and creamy.  Very decadent."
Croissant,3,neutral,"The croissant was okay.  Not as flaky as I'd hoped."
Cookie,5,positive,"The oatmeal raisin cookie was delicious!  Chewy and flavorful."
Americano,4,positive,"The Americano was strong and bold.  Just the way I like it."
Cappuccino,3,neutral,"The cappuccino was a bit weak.  Not enough coffee flavor."
Espresso,4,positive,"The espresso was good.  Strong and flavorful."
Mocha,5,positive,"The mocha was delicious!  Rich and chocolatey."
Latte,4,positive,"The latte was smooth and creamy.  Perfect for a morning pick-me-up."
Iced Latte,3,neutral,"The iced latte was okay.  A bit watered down."
Iced Americano,2,negative,"The iced Americano was too bitter."
Nitro Flat White,5,positive,"The nitro flat white was incredibly smooth and creamy."
Mocha Cold Brew,4,positive,"The mocha cold brew was a delicious and refreshing treat."
Watermelon Smoothie,4,positive,"The watermelon smoothie was perfect for a hot day."
Kiwi Smoothie,3,neutral,"The kiwi smoothie was a bit too tart."
Mango Smoothie,5,positive,"The mango smoothie was sweet and delicious."
Strawberry Smoothie,4,positive,"The strawberry smoothie was refreshing and flavorful."
Black Tea,3,neutral,"The black tea was standard."
Thai Tea,5,positive,"ชาไทยอร่อยมาก! (Thai tea is very delicious!)"
Bubble Tea,4,positive,"The bubble tea was good.  The boba was perfectly chewy."
Green Tea,3,neutral,"The green tea was a bit weak."
Jasmine Tea,4,positive,"The jasmine tea was fragrant and relaxing."
Yuzu Tea,5,positive,"The yuzu tea was incredibly refreshing."
Nitro Black Tea Lemonade,4,positive,"The nitro black tea lemonade was a unique and refreshing drink."
Lemon Tea,3,neutral,"The lemon tea was a bit too sweet."
Espresso Con Panna,5,positive,"The espresso con panna was a perfect little treat."
Muffin,5,positive,"The blueberry muffin was absolutely delicious! Moist, flavorful, and packed with blueberries. Perfect with my morning coffee."
Donut,2,negative,"โดนัทแห้งไปหน่อย ไม่อร่อยเท่าที่คาดหวังไว้"
Croissant,4,positive,"I love the croissants here!"
Thai Tea,5,positive,"ชาไทยอร่อยมาก! หวานกำลังดีและครีมเข้มข้น"
Iced Americano,3,neutral,"The iced Americano was okay. A bit bitter, but it did the job for my afternoon caffeine fix."
Mocha,5,positive,"The Mocha here is amazing! The combination of chocolate and coffee is perfect, and the whipped cream on top adds a nice touch. I'm definitely coming back for more."
Thai Tea,3,neutral,"สั่ง Thai Tea มา試ดู รสชาติเข้มข้นดี แต่หวานไปหน่อย ถ้าได้ปรับระดับน้ำตาลได้จะดีมาก"
Croissant,4,positive,"I had the Croissant with my coffee this morning, and it was flaky and buttery. The perfect pastry to start my day."
Iced Latte,2,negative,"I was really looking forward to trying the Iced Latte, but unfortunately, it was too watery and lacked flavor. Maybe I'll try it again another time."
Nitro Black Tea Lemonade,5,positive,"นี่เป็นเครื่องดื่มที่ฉันชื่นชอบที่สุดในเมนู รสชาติของชาและเลมอนแซบๆ เข้ากันอย่างลงตัว และมี泡ที่น่าสนใจด้วย"
Espresso Con Panna,4,positive,"The Espresso Con Panna was rich and creamy, just the way I like it. The espresso shot was strong and the whipped cream added a nice smoothness."
Mango Smoothie,3,neutral,"มันสมูทตี้มะม่วงสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มมะม่วงจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Donut,2,negative,"I was disappointed with the Donut. It was dry and lacked flavor. Maybe I just got a bad one, but I won't be ordering it again."
Americano,4,positive,"The Americano was strong and full of flavor. I loved the rich aroma and the way it filled my cup."
Cheesecake,5,positive,"The Cheesecake was creamy and delicious, with a great graham cracker crust. I'll definitely be back for another slice."
Black Tea,3,neutral,"สั่งชาดำมาเพื่อดู รสชาติเข้มข้นดี แต่ไม่มีอะไรพิเศษ หรือเป็นเอกลักษณ์ gìที่น่าจดจำ"
Mocha Cold Brew,5,positive,"The Mocha Cold Brew was amazing! The coffee flavor was rich and smooth, and the chocolate added a nice sweetness. I'll be back for more."
Cookie,4,positive,"The Cookie was soft and chewy, just the way I like it. The flavors were well-balanced and it paired perfectly with my coffee."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Jasmine Tea,5,positive,"The Jasmine Tea was delicate and fragrant, with a beautiful floral scent. It was the perfect tea to relax with."
Nitro Flat White,4,positive,"The Nitro Flat White was creamy and smooth, with a great coffee flavor. The nitrogen added a nice texture and made it feel like a special treat."
Kiwi Smoothie,3,neutral,"มันสมูทตี้กีวีสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มกีวีจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Watermelon Smoothie,5,positive,"The Watermelon Smoothie was refreshing and delicious, with a great watermelon flavor. It was the perfect drink for a hot day."
Sandwich,4,positive,"The Sandwich was freshly made and delicious, with a great combination of flavors and textures. I'll definitely be back for another one."
Yuzu Tea,5,positive,"The Yuzu Tea was unique and delicious, with a great citrus flavor. It was the perfect tea to try something new and exciting."
Latte,3,neutral,"สั่งลาเต้มาเพื่อดู รสชาติเข้มข้นดี แต่ฟองน้ำไม่เข้ากันเท่าที่คิดไว้ ถ้าได้ปรับระดับน้ำตาลและฟองน้ำได้จะดีมาก"
Bubble Tea,5,positive,"The Bubble Tea was fun and delicious, with a great tea flavor and chewy bubbles."
Latte,5,positive,"The latte was creamy and delicious. Perfect balance of espresso and milk. Highly recommend!"
Thai Tea,4,positive,"ชานมไทยที่นี่เยี่ยมมาก หวานพอดีและน้ำแข็งสดชื่น เหมาะกับวันที่อากาศร้อนค่ะ"
Mocha,2,negative,"The mocha was too sweet for my taste and lacked the rich chocolate flavor I was expecting."
Croissant,3,neutral,"The croissant was flaky but a bit dry. It's an average pastry for me."
Espresso Con Panna,5,positive,"Espresso Con Panna was outstanding! Rich and smooth with just the right amount of whipped cream. Will come back for more."
Muffin,5,positive,"This blueberry muffin was heavenly! Moist, buttery, and bursting with blueberries.  Perfect start to my day."
Donut,3,neutral,"The glazed donut was okay.  A bit on the dry side, but the glaze was sweet and tasty."
Sandwich,4,positive,"The turkey and swiss sandwich was surprisingly good. Fresh bread and generous fillings.  A great lunch option."
Cheesecake,2,negative,"ผิดหวังกับชีสเค้กมากค่ะ (Disappointed with the cheesecake).  เนื้อเค้กแห้งและรสชาติไม่ค่อยดี (The cake was dry and the taste wasn't very good)."
Croissant,5,positive,"The croissant was absolutely perfect! Flaky, buttery, and light.  อร่อยมากค่ะ (Very delicious!)"
Cookie,4,positive,"The chocolate chip cookie was warm and chewy.  Just the right amount of sweetness.  A perfect treat."
Americano,3,neutral,"The Americano was decent.  Strong, as it should be, but nothing exceptional."
Cappuccino,4,positive,"Great cappuccino! The foam was perfect and the coffee had a rich flavor. Will definitely order again."
Espresso,5,positive,"Perfect espresso! Strong, rich, and with a beautiful crema.  Just what I needed for a pick-me-up."
Mocha,4,positive,"The mocha was very good. Rich chocolate flavor and the coffee was strong enough to balance it out.  A little sweet, but I enjoyed it."
Latte,3,neutral,"My latte was fine.  Nothing to complain about, but nothing to rave about either.  Standard latte."
Iced Latte,4,positive,"The iced latte was refreshing and flavorful. Perfect for a hot day.  I added a little sugar, perfect."
Iced Americano,2,negative,"The iced Americano was too bitter for my taste. Even with the sugar, it was just too strong."
Nitro Flat White,5,positive,"The nitro flat white was amazing! So smooth and creamy without any milk. A must-try for coffee lovers."
Mocha Cold Brew,4,positive,"The mocha cold brew was delicious. Smooth, chocolatey, and not too sweet. A great caffeine boost."
Watermelon Smoothie,5,positive,"The watermelon smoothie was so refreshing! Perfect for a hot day. หวานชื่นใจ (Sweet and refreshing)!"
Kiwi Smoothie,3,neutral,"The kiwi smoothie was okay. A bit tart, but I like tart flavors. Could have been a little sweeter."
Mango Smoothie,4,positive,"The mango smoothie was delicious! Sweet and creamy. I'd definitely order it again. หอมหวาน (Fragrant and sweet)."
Strawberry Smoothie,4,positive,"The strawberry smoothie was good. Tasted fresh and had a nice strawberry flavor.  A little too icy though."
Black Tea,3,neutral,"The black tea was standard. Nothing special, but it did the job.  Good with a little milk."
Thai Tea,5,positive,"ชาไทยอร่อยมาก! (Thai tea is very delicious!) Perfectly sweet and creamy. My favorite!  เข้มข้น (Intense flavor)."
Bubble Tea,4,positive,"The bubble tea was good. The boba was chewy and the milk tea was flavorful.  A little too much ice."
Green Tea,3,neutral,"The green tea was okay. A bit weak, but I prefer stronger green tea.  Needed more flavor."
Jasmine Tea,4,positive,"The jasmine tea was fragrant and flavorful. Very relaxing.  หอม (Fragrant)."
Yuzu Tea,5,positive,"The yuzu tea was amazing! So refreshing and citrusy. I highly recommend it. เปรี้ยวหวาน (Sweet and sour)."
Nitro Black Tea Lemonade,4,positive,"The nitro black tea lemonade was a refreshing and unique drink. I enjoyed the combination of flavors. ซ่า (Bubbly)."
Lemon Tea,3,neutral,"The lemon tea was okay. A bit too sweet for my liking. Needed more lemon."
Espresso Con Panna,5,positive,"The espresso con panna was perfect! Rich espresso topped with creamy panna. A little taste of heaven.  เข้มข้น (Intense)."
Muffin,4,positive,"Good muffin! Nice and moist with a good crumb. Would buy again.  อร่อย (Delicious)."
Donut,2,negative,"The donut was stale and dry. Very disappointing. ไม่อร่อย (Not delicious)."
Sandwich,5,positive,"The club sandwich was excellent! Fresh ingredients and perfectly toasted bread.  คุ้มค่า (Worth it)."
Cheesecake,4,positive,"The cheesecake was rich and creamy. Very decadent.  หวานมัน (Sweet and creamy)."
Croissant,3,neutral,"The croissant was okay. Not as flaky as I'd hoped. ธรรมดา (Ordinary)."
Cookie,5,positive,"The oatmeal raisin cookie was delicious! Chewy and flavorful.  ชอบ (Like it)."
Americano,4,positive,"The Americano was strong and bold. Just the way I like it.  ดี (Good)."
Cappuccino,3,neutral,"The cappuccino was a bit weak. Not enough coffee flavor.  อ่อนไปหน่อย (A bit weak)."
Espresso,4,positive,"The espresso was good. Strong and flavorful.  ดี (Good)."
Mocha,5,positive,"The mocha was delicious! Rich and chocolatey.  อร่อย (Delicious)."
Latte,4,positive,"The latte was smooth and creamy. Perfect for a morning pick-me-up.  ดี (Good)."
Iced Latte,3,neutral,"The iced latte was okay. A bit watered down.  จืดไปหน่อย (A bit bland)."
Iced Americano,2,negative,"The iced Americano was too bitter. ขม (Bitter)."
Nitro Flat White,5,positive,"The nitro flat white was incredibly smooth and creamy.  ดีมาก (Very good)."
Mocha Cold Brew,4,positive,"The mocha cold brew was a delicious and refreshing treat.  สดชื่น (Refreshing)."
Watermelon Smoothie,4,positive,"The watermelon smoothie was perfect for a hot day.  หวานเย็น (Sweet and cold)."
Kiwi Smoothie,3,neutral,"The kiwi smoothie was a bit too tart. เปรี้ยว (Sour)."
Mango Smoothie,5,positive,"The mango smoothie was sweet and delicious.  อร่อย (Delicious)."
Strawberry Smoothie,4,positive,"The strawberry smoothie was refreshing and flavorful.  ดี (Good)."
Black Tea,3,neutral,"The black tea was standard.  ธรรมดา (Ordinary)."
Thai Tea,5,positive,"ชาไทยอร่อยมาก! (Thai tea is very delicious!) หวานมัน (Sweet and creamy)."
Bubble Tea,4,positive,"The bubble tea was good. The boba was perfectly chewy. หนึบหนับ (Chewy)."
Green Tea,3,neutral,"The green tea was a bit weak.  จืด (Bland)."
Jasmine Tea,4,positive,"The jasmine tea was fragrant and relaxing."
Yuzu Tea,5,positive,"The yuzu tea was incredibly refreshing.  สดชื่น (Refreshing)."
Nitro Black Tea Lemonade,4,positive,"The nitro black tea lemonade was a unique and refreshing drink.  ดี (Good)."
Lemon Tea,3,neutral,"The lemon tea was a bit too sweet.  หวานไปหน่อย (A bit too sweet)."
Espresso Con Panna,5,positive,"The espresso con panna was a perfect little treat.  อร่อย (Delicious)."
Mocha,5,positive,"The Mocha here is amazing! The combination of chocolate and coffee is perfect, and the whipped cream on top adds a nice touch. I'm definitely coming back for more."
Thai Tea,3,neutral,"สั่ง Thai Tea มา試ดู รสชาติเข้มข้นดี แต่หวานไปหน่อย ถ้าได้ปรับระดับน้ำตาลได้จะดีมาก"
Croissant,4,positive,"I had the Croissant with my coffee this morning, and it was flaky and buttery. The perfect pastry to start my day."
Iced Latte,2,negative,"I was really looking forward to trying the Iced Latte, but unfortunately, it was too watery and lacked flavor. Maybe I'll try it again another time."
Nitro Black Tea Lemonade,5,positive,"นี่เป็นเครื่องดื่มที่ฉันชื่นชอบที่สุดในเมนู รสชาติของชาและเลมอนแซบๆ เข้ากันอย่างลงตัว และมี泡ที่น่าสนใจด้วย"
Espresso Con Panna,4,positive,"The Espresso Con Panna was rich and creamy, just the way I like it. The espresso shot was strong and the whipped cream added a nice smoothness."
Mango Smoothie,3,neutral,"มันสมูทตี้มะม่วงสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มมะม่วงจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Donut,2,negative,"I was disappointed with the Donut. It was dry and lacked flavor. Maybe I just got a bad one, but I won't be ordering it again."
Americano,4,positive,"The Americano was strong and full of flavor. I loved the rich aroma and the way it filled my cup."
Cheesecake,5,positive,"The Cheesecake was creamy and delicious, with a great graham cracker crust. I'll definitely be back for another slice."
Black Tea,3,neutral,"สั่งชาดำมาเพื่อดู รสชาติเข้มข้นดี แต่ไม่มีอะไรพิเศษ หรือเป็นเอกลักษณ์ gìที่น่าจดจำ"
Mocha Cold Brew,5,positive,"The Mocha Cold Brew was amazing! The coffee flavor was rich and smooth, and the chocolate added a nice sweetness. I'll be back for more."
Cookie,4,positive,"The Cookie was soft and chewy, just the way I like it. The flavors were well-balanced and it paired perfectly with my coffee."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Jasmine Tea,5,positive,"The Jasmine Tea was delicate and fragrant, with a beautiful floral scent. It was the perfect tea to relax with."
Nitro Flat White,4,positive,"The Nitro Flat White was creamy and smooth, with a great coffee flavor. The nitrogen added a nice texture and made it feel like a special treat."
Kiwi Smoothie,3,neutral,"มันสมูทตี้กีวีสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มกีวีจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Watermelon Smoothie,5,positive,"The Watermelon Smoothie was refreshing and delicious, with a great watermelon flavor. It was the perfect drink for a hot day."
Sandwich,4,positive,"The Sandwich was freshly made and delicious, with a great combination of flavors and textures. I'll definitely be back for another one."
Yuzu Tea,5,positive,"The Yuzu Tea was unique and delicious, with a great citrus flavor. It was the perfect tea to try something new and exciting."
Latte,3,neutral,"สั่งลาเต้มาเพื่อดู รสชาติเข้มข้นดี แต่ฟองน้ำไม่เข้ากันเท่าที่คิดไว้ ถ้าได้ปรับระดับน้ำตาลและฟองน้ำได้จะดีมาก"
Bubble Tea,5,positive,"The Bubble Tea was fun and delicious, with a great tea flavor and chewy bubbles."
Green Tea,4,positive,"The Green Tea was light and refreshing, with a great subtle flavor. It was the perfect tea to drink on a busy day."
Lemon Tea,3,neutral,"The Lemon Tea was okay, but it was a bit too sour for my taste. Maybe I'll try it again with a bit less lemon."
Strawberry Smoothie,5,positive,"The Strawberry Smoothie was sweet and delicious, with a great strawberry flavor. It was the perfect drink for a sweet treat."
Espresso,4,positive,"The Espresso was strong and rich, with a great flavor. It was the perfect coffee to start my day."
Muffin,3,neutral,"The Muffin was okay, but it was a bit too dry for my taste. Maybe I'll try it again with a bit more moisture."
Nitro Black Tea Lemonade,5,positive,"นี่เป็นเครื่องดื่มที่ฉันชื่นชอบที่สุดในเมนู รสชาติของชาและเลมอนแซบๆ เข้ากันอย่างลงตัว และมี泡ที่น่าสนใจด้วย"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Thai Tea,4,positive,"สั่ง Thai Tea มาเพื่อดู รสชาติเข้มข้นดี และมีหอมของชาไทยที่น่าสนใจ"
Mocha,5,positive,"The Mocha here is amazing! The combination of chocolate and coffee is perfect, and the whipped cream on top adds a nice touch. I'm definitely coming back for more."
Croissant,4,positive,"I had the Croissant with my coffee this morning, and it was flaky and buttery. The perfect pastry to start my day."
Iced Latte,2,negative,"I was really looking forward to trying the Iced Latte, but unfortunately, it was too watery and lacked flavor. Maybe I'll try it again another time."
Nitro Flat White,4,positive,"The Nitro Flat White was creamy and smooth, with a great coffee flavor. The nitrogen added a nice texture and made it feel like a special treat."
Espresso Con Panna,5,positive,"The Espresso Con Panna was rich and creamy, just the way I like it. The espresso shot was strong and the whipped cream added a nice smoothness."
Mango Smoothie,3,neutral,"มันสมูทตี้มะม่วงสั่งมาทดลอง รสชาติไพเราะดี แต่ไม่เข้มข้นเท่าที่คิดไว้ ถ้าเพิ่มมะม่วงจริงๆ ลงไปมากกว่านี้จะดีกว่า"
Cappuccino,5,positive,"The Cappuccino here is one of the best I've had. The barista really knows how to create a beautiful design on top, and the flavors are well-balanced."
Donut,2,negative,"I was disappointed with the Donut. It was dry and lacked flavor. Maybe I just got a bad one, but I won't be ordering it again."
Americano,4,positive,"The Americano was strong and full of flavor. I loved the rich aroma and the way it filled my cup."
Cheesecake,5,positive,"The Cheesecake was creamy and delicious, with a great graham cracker crust. I'll definitely be back for another slice."
Black Tea,3,neutral,"สั่งชาดำมาเพื่อดู รสชาติเข้มข้นดี แต่ไม่มีอะไรพิเศษ หรือเป็นเอกลักษณ์ gìที่น่าจดจำ"
Mocha Cold Brew,5,positive,"The Mocha Cold Brew was amazing! The coffee flavor was rich and smooth, and the chocolate added a nice sweetness. I'll be back for more."
Cookie,4,positive,"The Cookie was soft and chewy, just the way I like it. The flavors were well-balanced and it paired perfectly with my coffee."
Iced Americano,2,negative,"The Iced Americano was too weak and lacked flavor. I was expecting a stronger coffee taste, but it was just okay."
Jasmine Tea,5,positive,"The Jasmine Tea was delicate and fragrant, with a beautiful floral scent. It was the perfect tea to relax with."
